MEAL_CLSF_NM,MEAL_NM,COOK_MTH_CONT,MATRL_NM,CALORIE_QY,CARBOH_QY,PROTEIN_QY,FAT_QY,CELLU_QY,CALCIUM_QY,PHOSPH_QY,FE_QY,NATRIUM_QY,POTASSIUM_QY,VITAMINA_QY,THIAMIN_QY,RIBOFLAMIN_QY,NIACIN_QY,VITAMINC_QY,MEAL_PICTR_FILE_NM
"밥류","현미밥","① 쌀과 현미를 섞어서 불린다.<br>② 적당량의 물을 부어 밥을 짓는다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 55g, 쌀, 멥쌀, 논벼, 현미, 일반형 5g, ","209.1","46.0","4.0","0.4","0.7","7.8","50.2","0.9","1.2","65.5","0.0","0.1","0.0","0.9","0.0","1001.jpg"
"밥류","백미밥","① 쌀을 불린다.<br>② 적당량의 물을 부어 밥을 짓는다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 60g, ","208.8","46.1","4.0","0.2","0.6","8.4","40.2","0.8","1.2","61.2","0.0","0.1","0.0","0.8","0.0","1002.jpg"
"밥류","보리밥","① 쌀과 보리를 섞어서 불린다.<br>② 적당량의 물을 부어 밥을 짓는다. ","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 55g, 보리, 겉보리, 보리쌀 5g, ","209.2","46.0","4.2","0.3","1.1","9.6","46.5","0.9","1.4","65.6","0.0","0.1","0.0","1.1","0.0","1003.jpg"
"밥류","흑미밥","① 쌀과 흑미를 섞어서 불린다.<br>② 적당량의 물을 부어 밥을 짓는다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 55g, 쌀, 흑미, 멥쌀 5g, ","209.4","46.0","4.0","0.3","0.7","8.5","50.0","0.8","1.2","62.0","0.0","0.1","0.0","1.0","0.0","1004.jpg"
"밥류","기장밥","① 쌀과 기장을 섞어서 불린다.<br>② 적당량의 물을 부어 밥을 짓는다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 55g, 기장,  도정곡 5g, ","209.0","45.8","4.2","0.3","0.6","8.2","49.1","0.8","1.2","65.6","0.0","0.1","0.0","0.9","0.0","1005.jpg"
"밥류","수수밥","① 쌀과 수수를 섞어서 불린다.<br>② 적당량의 물을 부어 밥을 짓는다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 55g, 수수, 도정곡 5g, ","209.6","45.9","4.1","0.4","0.8","8.0","47.4","0.8","1.2","75.1","0.0","0.1","0.0","0.9","0.0","1006.jpg"
"밥류","잡곡밥","① 쌀과 찹쌀, 기장, 팥, 수수를 섞어서 불린다.<br>② 적당량의 물을 부어 밥을 짓는다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 35g, 쌀, 찹쌀, 백미 15g, 기장,  도정곡 3g, 팥, 검정팥 3g, 수수, 도정곡 3g, ","209.5","45.0","4.7","0.4","1.1","8.3","72.5","1.1","1.4","117.4","0.0","0.1","0.0","1.0","0.0","1007.jpg"
"밥류","검정콩밥","① 쌀과 흑태를 섞어서 불린다.<br>② 적당량의 물을 부어 밥을 짓는다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 55g, 대두, 검정콩, 흑태 5g, ","211.6","43.9","5.4","1.0","1.4","14.8","62.6","1.1","1.4","118.0","0.0","0.1","0.0","0.9","0.0","1008.jpg"
"밥류","차조밥","① 쌀과 차조를 섞어서 불린다.<br>② 적당량의 물을 부어 밥을 짓는다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 55g, 차조 5g, ","209.6","45.9","4.1","0.4","0.6","8.6","51.9","0.9","1.4","72.6","0.0","0.1","0.0","1.0","0.0","1009.jpg"
"밥류","자장밥","① 재료들을 적당한 크기로 썬다.<br>② 돼지고기와 야채를 볶는다.<br>③ 자장소스를 넣고 볶은 후 물을 부어 끓인다.<br>④ 전분과 물을 1:1 비율로 섞어 넣는다.<br>⑤ 설탕으로 간을 하고 적당한 농도가 날 때까지 끓인다.","쌀, 멥쌀, 논벼, 백미 국내산, 일반형, 일품 50g, 감자, 생것 20g, 전분, 감자녹말 1.5g, 설탕, 백설탕 1.5g, 양배추, 생것 15g, 양파, 생것, 국내산 13g, 호박, 개량종, 생것 12g, 돼지고기, 사태, 날것 5g, 콩기름 1g, 짜장, 레토르트 18g, ","249.3","48.2","6.1","3.2","1.9","25.0","79.2","1.2","99.7","275.3","11.0","0.1","0.1","1.4","10.6","1010.jpg"
