MEAL_CLSF_NM,MEAL_NM,COOK_MTH_CONT,MATRL_NM,CALORIE_QY,CARBOH_QY,PROTEIN_QY,FAT_QY,CELLU_QY,CALCIUM_QY,PHOSPH_QY,FE_QY,NATRIUM_QY,POTASSIUM_QY,VITAMINA_QY,THIAMIN_QY,RIBOFLAMIN_QY,NIACIN_QY,VITAMINC_QY,MEAL_PICTR_FILE_NM
"볶음류","돈육짜장볶음","① 돼지고기는 채썰어 진간장, 설탕, 청주를 넣고 양념한다.<br>② 양념한  돼지고기에 녹말가루를 넣어 고루 버무린다.<br>③ 팬에 식용유를? 두르고 돼지고기를 볶다가 춘장을 넣고 볶아준다.","짜장 춘장 1g, 돼지고기, 등심, 날것 20g, 간장, 왜간장 0.5g, 설탕, 백설탕 0.2g, 콩기름 0.2g, 청주 1g, 전분, 감자녹말 1g, ","56.0","1.2","4.4","3.5","0.0","2.7","39.9","0.4","41.0","63.2","1.0","0.1","0.0","1.2","0.4","10033.jpg"
"볶음류","돈육피망볶음","① 돼지고기는 채썰어 전분을 무쳐서 기름에 튀겨낸다.<br>② 대파와 홍피망은 가늘게 채썬다.<br>③ ①과 ②의 재료에 진간장, 마늘, 청주, 설탕을 넣고 볶아준다.  ","돼지고기, 등심, 날것 20g, 파, 대파 2g, 피망, 붉은것 0.5g, 간장, 왜간장 1g, 마늘, 구근, 생것 0.2g, 콩기름 0.2g, 청주 1g, 설탕, 백설탕 0.2g, 전분, 감자녹말 1g, ","55.5","1.3","4.4","3.4","0.1","3.7","40.6","0.4","70.3","71.3","5.5","0.1","0.0","1.2","1.8","10034.jpg"
"볶음류","두부잡채","① 두부는 팬에 식용유를 두르고 구운 후 채썬다.<br>② 느타리버섯은 가늘게 찢고 당근, 양파, 청피망은 채썬다.<br>③ 팬에 식용유를 두르고 2의 재료와 진간장, 소금, 참기름을 넣고 볶는다.<br>④ 접시에 볶은 채소와 구운 두부를 섞어낸다.","두부, 두부 15g, 느타리버섯, 생것 5g, 당근, 생것 5g, 양파, 생것, 국내산 5g, 피망, 푸른것 5g, 간장, 왜간장 0.2g, 소금, 식염 0.1g, 참기름 0.2g, ","19.3","1.7","1.6","0.8","0.9","27.3","23.8","0.5","48.6","50.2","66.0","0.0","0.0","0.4","3.5","10035.jpg"
"볶음류","미역줄기맛살볶음","① 미역줄기는 깨끗이 손질하여 적당한 길이로 자른다.<br>② 게맛살은 가늘게 찢어준다.<br>③ 팬에 식용유를 두르고 ①과 ②의 재료를 볶아준다. ","미역, 줄기, 생것 8g, 어묵, 게맛살 3g, 콩기름 1g, ","14.0","0.8","0.5","1.0","0.2","16.1","10.4","0.1","65.4","155.2","4.8","0.0","0.0","0.1","1.0","10036.jpg"
"볶음류","부추달걀볶음","① 달걀에 소금, 청주를 넣고 풀어 팬에 스크램블하듯이 볶는다.<br>② 부추는 적당한 길이로 잘라 ①의 재료와 참기름을 넣고 함께 볶는다.","부추, 생것 6g, 계란, 전란, 생것 25g, 콩기름 1g, 청주 1g, 소금, 식염 0.1g, 참기름 0.5g, ","55.7","0.5","3.4","4.3","0.1","13.8","43.7","0.6","67.3","59.0","77.3","0.0","0.1","0.0","2.5","10037.jpg"
"볶음류","부추잡채볶음","① 돼지고기는 가늘게 채썰어 전분, 진간장, 설탕, 청주를 넣어 간하고 팬에 볶는다.<br>② 부추는 적당한 길이로 썰어 돼지고기가 어느정도 익으면 함께 볶아준다.","부추, 생것 10g, 돼지고기, 등심, 날것 20g, 전분, 감자녹말 1g, 콩기름 0.3g, 소금, 식염 0.1g, 참기름 0.2g, ","58.0","1.2","4.6","3.8","0.2","5.1","40.5","0.6","48.8","109.3","64.8","0.2","0.0","1.1","4.5","10038.jpg"
"볶음류","북어볶음","① 북어를 손질하여 적당한 크기로 자른다.<br>② 팬에 식용유를 두르고 마늘과 양파를 볶는다.<br>③ 고추장, 고추가루, 물엿, 진간장으로 양념장을 만든다.<br>④ 양념장을 넣고 북어와 함께 볶다가 피망도 넣고 볶아준다.<br>⑤ 참기름을 살짝 두른다.","명태, 건 북어 2g, 양파, 생것, 국내산 5g, 피망, 푸른것 2g, 고추장 1g, 고추가루 0.2g, 간장, 왜간장 0.2g, 마늘, 구근, 생것 0.3g, 콩기름 0.5g, 엿, 물엿 0.3g, ","17.5","1.3","1.7","0.6","0.3","9.3","22.0","0.1","52.3","49.9","11.9","0.0","0.0","0.2","1.5","10039.jpg"
"볶음류","새우청경채볶음","① 청경채, 양파, 새우를 적당한 크기로 썬다.<br>② 옥수수와 완두콩은 물기를 제거한다.<br>③ 팬에 식용유를 두르고 새우를 볶다가 채소와 콩을 넣고 볶는다.<br>④ 진간장, 마늘, 굴소스, 참기름, 후추를 넣고 간하여 볶는다.","청경채 중국채소 15g, 새우, 잔새우, 생것 6g, 옥수수, 옥수수통조림, 가당 3g, 완두콩, 삶은것 3g, 양파, 생것, 국내산 5g, 굴소스 3g, 참기름 1g, 후추, 분말 0.01g, 마늘, 구근, 생것 0.2g, ","21.9","1.7","1.3","1.2","0.8","22.6","20.4","0.4","31.5","74.6","53.1","0.0","0.0","0.3","8.2","10040.jpg"
"볶음류","쇠고기마늘쫑볶음","① 쇠고기는 채썰어 청주, 진간장, 마늘, 후추에 양념하여 절인다.<br>② 마늘쫑은 4cm로 썰어 끓는 물에 데친다.<br>③ 팬에 식용유를 두르고 쇠고기, 마늘쫑, 굴소스를 넣어 볶는다. ","쇠고기, 한우, 우둔 5g, 마늘, 마늘쫑 10g, 청주 0.5g, 마늘, 구근, 생것 0.2g, 콩기름 0.2g, 간장, 왜간장 0.2g, 굴소스 0.2g, 엿, 물엿 0.2g, 후추, 분말 0.01g, 참깨, 흰깨, 볶은것 0.1g, ","15.6","1.4","1.4","0.5","0.6","4.1","18.0","0.2","15.4","43.9","5.3","0.0","0.0","0.4","5.7","10041.jpg"
"볶음류","쇠고기양송이볶음","① 쇠고기는 채썰어 청주, 진간장, 후추에 양념하여 절인다.<br>② 양송이버섯, 양파, 홍고추를 적당한 크기로 썬다.<br>③ 팬에 식용유를 두르고 마늘과 쇠고기를 넣고 볶다가 양송이 , 양파, 홍고추, 참기름을 넣어 볶는다.","쇠고기, 한우, 우둔 5g, 양송이, 생것 15g, 양파, 생것, 국내산 5g, 고추, 붉은고추, 생것 2g, 마늘, 구근, 생것 0.2g, 콩기름 0.2g, 참기름 1g, 청주 0.1g, 간장, 왜간장 0.2g, 후추, 분말 1g, 참깨, 흰깨, 볶은것 0.1g, ","26.5","1.4","1.9","1.6","0.7","6.4","29.2","0.5","15.8","122.7","22.4","0.0","0.1","1.0","3.3","10042.jpg"
