MEAL_CLSF_NM,MEAL_NM,COOK_MTH_CONT,MATRL_NM,CALORIE_QY,CARBOH_QY,PROTEIN_QY,FAT_QY,CELLU_QY,CALCIUM_QY,PHOSPH_QY,FE_QY,NATRIUM_QY,POTASSIUM_QY,VITAMINA_QY,THIAMIN_QY,RIBOFLAMIN_QY,NIACIN_QY,VITAMINC_QY,MEAL_PICTR_FILE_NM
"간식류","쌀음료","쌀음료","쌀음료,아침햇살 100g, ","52.8","11.1","0.0","0.7","0.0","0.0","0.0","0.0","19.4","0.0","0.0","0.0","0.0","0.0","0.0","12058.jpg"
"간식류","거봉","거봉","포도, 거봉 100g, ","56.0","14.9","0.5","0.1","0.4","6.0","17.0","0.4","5.0","173.0","3.0","0.0","0.0","0.2","2.0","12059.jpg"
"간식류","검은깨두유","검은깨두유","검은깨두유 200g, ","130.0","14.0","5.0","6.0","0.0","0.0","0.0","0.0","220.0","0.0","0.0","0.0","0.0","0.0","0.0","12060.jpg"
"간식류","계란토스트","① 식빵은 가장자리를 도려내고 이등분한다.<br>② 우유와 계란을 잘 푼다.<br>③ 식빵은 ②에 적셔 팬에서 구워낸다.","식빵, 식빵 20g, 계란, 전란, 생것 50g, 우유, 가공우유, 보통 20g, 콩기름 1g, ","155.8","10.8","8.8","8.3","0.7","49.1","119.6","1.1","126.4","111.6","84.6","0.1","0.2","0.3","0.2","12061.jpg"
"간식류","단팥도너츠","단판도너츠","도우넛, 팥 25g, ","99.8","11.2","1.6","3.8","0.4","6.8","21.5","0.2","47.0","16.8","6.5","0.0","0.0","0.1","0.0","12062.jpg"
"간식류","딸기쨈식빵","식빵,딸기잼","식빵, 식빵 20g, 딸기, 잼 10g, ","79.7","15.6","1.9","1.2","0.8","6.3","17.8","0.2","53.7","26.9","0.4","0.0","0.0","0.2","1.7","12063.jpg"
"간식류","망고주스","망고주스","망고쥬스 100g, ","50.0","12.8","0.0","0.0","0.0","0.0","0.0","0.0","11.1","0.0","0.0","0.0","0.0","0.0","0.0","12064.jpg"
"간식류","매실주스","매실주스","매실쥬스 100g, ","55.6","13.9","0.0","0.0","0.0","0.0","0.0","0.0","11.1","0.0","0.0","0.0","0.0","0.0","0.0","12065.jpg"
"간식류","멜론","멜론","멜론, 머스크 50g, ","19.0","4.6","0.7","0.0","0.4","3.5","21.5","0.2","6.5","187.0","1.5","0.0","0.0","0.4","11.0","12066.jpg"
"간식류","바나나쉐이크","①. 바나나와 우유를 믹서기에 넣고 갈아준다.","바나나, 생과 100g, 우유, 가공우유, 보통 150g, ","187.5","31.3","5.8","5.3","1.8","157.0","163.5","0.8","77.0","560.0","53.5","0.1","0.3","0.6","9.5","12067.jpg"
"간식류","베지밀","베지밀","두유음료 베지밀 200g, ","118.0","8.4","6.0","6.6","0.6","36.0","80.0","1.6","256.0","176.0","0.0","0.1","0.0","1.2","0.0","12068.jpg"
"간식류","복숭아","복숭아","복숭아, 생과, 백도 50g, ","17.0","4.1","0.4","0.1","0.7","1.5","8.5","0.2","1.0","66.5","1.0","0.0","0.0","0.2","3.5","12069.jpg"
"간식류","소보로빵","소보로빵","곰보빵 35g, ","131.6","19.6","3.1","4.6","0.7","12.6","34.3","0.2","80.8","45.8","10.2","0.0","0.0","0.4","0.0","12070.jpg"
"간식류","슈크림빵","슈크림빵","슈크림 30g, ","73.2","7.9","1.8","1.0","0.1","21.6","54.3","0.2","49.2","24.3","30.6","0.0","0.0","0.2","0.0","12071.jpg"
"간식류","쌀과자","쌀과자","쌀과자 10g, ","38.1","8.4","0.8","0.1","0.4","0.8","10.0","0.0","68.0","11.0","0.0","0.0","0.0","0.1","0.0","12072.jpg"
"간식류","애플파이","애플파이","파이, 애플파이버거킹 25g, ","61.0","8.8","0.6","2.4","0.4","0.0","6.2","0.2","82.5","24.4","0.0","0.0","0.0","0.1","1.0","12073.jpg"
"간식류","자두","자두","자두, 생과 100g, ","34.0","8.4","0.6","0.2","2.2","4.0","13.0","0.3","2.0","146.0","5.0","0.0","0.0","0.4","4.0","12074.jpg"
"간식류","찹쌀도너츠","찹쌀도너츠","도우넛, 링 30g, ","123.6","12.1","2.2","7.8","0.6","8.4","36.0","0.3","108.0","21.9","4.2","0.0","0.0","0.4","0.0","12075.jpg"
"간식류","단감","단감","감, 단감 60g, ","26.4","6.8","0.3","0.1","1.5","4.8","10.8","0.2","1.2","89.4","13.8","0.0","0.0","0.2","30.0","12076.jpg"
"간식류","치즈머핀","치즈머핀","머핀, 전유로만든것 44g, ","132.4","18.2","3.0","5.3","1.2","43.6","66.9","1.1","205.5","52.8","3.5","0.1","0.1","1.0","0.0","12077.jpg"
"간식류","콩두유","콩두유","콩두유 200g, ","122.0","14.6","6.4","5.4","0.0","0.0","0.0","0.0","209.0","0.0","0.0","0.0","0.0","0.0","0.0","12078.jpg"
"간식류","크로와상","크로와상","크로아쌍, 크로아쌍 30g, ","129.3","11.4","2.0","8.4","0.8","11.4","21.0","0.3","222.0","28.5","1.5","0.0","0.0","0.3","0.0","12079.jpg"
"간식류","토마토주스","토마토주스","토마토, 토마토쥬스 100g, ","13.0","2.7","0.8","0.1","0.8","10.0","16.0","0.8","63.0","156.0","40.0","0.0","0.0","0.7","5.0","12080.jpg"
"간식류","포도주스","포도주스","포도, 과일쥬스, 과즙음료 100g, ","55.0","15.1","0.2","0.1","0.0","4.0","5.0","0.1","15.0","17.0","0.0","0.0","0.0","0.0","0.0","12081.jpg"
