MEAL_CLSF_NM,MEAL_NM,COOK_MTH_CONT,MATRL_NM,CALORIE_QY,CARBOH_QY,PROTEIN_QY,FAT_QY,CELLU_QY,CALCIUM_QY,PHOSPH_QY,FE_QY,NATRIUM_QY,POTASSIUM_QY,VITAMINA_QY,THIAMIN_QY,RIBOFLAMIN_QY,NIACIN_QY,VITAMINC_QY,MEAL_PICTR_FILE_NM
"나물,무침류","닭가슴살사과무침","① 닭가슴살은 끓는 물에 삶아 찢어준다.<br>② 사과는 얇게 한 입 크기로 썬다.<br>③ 마요네즈, 설탕, 레몬즙을 섞어 소스를 만든다.<br>④ ①과 ②에 소스를 넣고 섞어 땅콩가루를 뿌려낸다.","닭고기, 가슴살, 날것 30g, 사과, 생과, 부사 15g, 땅콩, 볶은것 3g, 설탕, 백설탕 1g, 마요네즈 3g, 레몬, 과즙 1g, ","82.1","4.0","7.8","4.0","0.2","6.2","73.5","0.3","36.6","112.8","2.4","0.0","0.0","4.0","1.4","8033.jpg"
"나물,무침류","더덕사과무침","① 더덕은 깨끗이 씻은 다음 끓는 물에 살짝 데친 후 홍두깨로 두드려 펴서 먹기좋게 찢는다.<br>② 오이는깨끗이 씻은 후 적당한 크기로 썬다.<br>③ 사과는 굵은 채로 썰고, 실파는 적당한 크기로 썬다.<br>④ 초고추장 (고추장, 물엿, 깨소금, 마늘, 식초, 고추가루) 양념을 만든다.<br>⑤ 준비한 재료에 초고추장을 넣고 살살 버무리듯 무친다.","더덕, 생것 2.5g, 사과, 생과, 부사 2g, 파, 소파 0.2g, 오이, 생것, 재래종 2g, 고추장 1.8g, 엿, 물엿 0.2g, 깨소금 0.2g, 마늘, 구근, 생것 0.3g, 식초 0.5g, 고추가루 0.1g, ","9.1","1.7","0.3","0.2","0.3","4.9","8.2","0.2","51.8","23.3","11.3","0.0","0.0","0.1","0.5","8034.jpg"
"나물,무침류","돌나물무침","① 돌나물과 영양부추는 씻어 물기를 빼고 적당한 크기로 썬다.<br>② 양파는 채썬다.<br>③ ①과 ②에 국간장, 고추가루, 참기름, 깨소금을 넣고 무쳐낸다. ","돌나물, 생것 5g, 양파, 생것, 국내산 2g, 부추, 생것 2g, 간장, 왜간장 0.3g, 참기름 2g, 깨소금 0.2g, 고추가루 0.1g, ","21.2","0.4","0.2","2.2","0.2","14.2","4.5","0.2","25.4","24.2","22.1","0.0","0.0","0.0","2.3","8035.jpg"
"나물,무침류","마늘쫑무침","① 마늘쫑은 씻어 적당한 크기로 썬 다음, 소금을 조금 넣고 데친다.<br>② 양념장(고추장, 고추가루, 간장, 설탕, 마늘, 참기름, 물엿)을 끓인다.<br>③ 양념장에 마늘쫑을 넣고 무친 후 참깨를 뿌린다.","마늘, 마늘쫑 10g, 고추장 1g, 고추가루 0.1g, 간장, 왜간장 0.1g, 설탕, 백설탕 0.5g, 마늘, 구근, 생것 0.3g, 참깨, 흰깨, 볶은것 0.2g, 참기름 0.1g, 엿, 물엿 0.5g, ","13.4","2.6","0.4","0.3","0.7","5.4","10.0","0.2","32.0","37.3","12.0","0.0","0.0","0.1","5.6","8036.jpg"
"나물,무침류","맛살콩나물무침","① 맛살은 3등분해서 찢어주고, 실파는 길이로 썬다.<br>② 콩나물은 끓는 물에 데쳐 식힌다.<br>③ 소금, 참기름, 마늘로 양념장을 만든다.<br>④ 콩나물, 맛살, 실파에 양념장을 넣고 무친다.<br>⑤ 참깨를 뿌려낸다.","콩나물, 생것 15g, 어묵, 게맛살 5g, 파, 소파 1g, 소금, 식염 0.1g, 참기름 0.2g, 참깨, 흰깨, 볶은것 0.2g, 마늘, 구근, 생것 0.3g, ","13.5","1.1","1.4","0.6","0.4","18.7","21.4","0.2","73.7","43.7","1.2","0.0","0.0","0.2","1.5","8037.jpg"
"나물,무침류","무나물","① 무는 깨끗이 씻어 채썬 뒤 달군 팬에 참기름을 두르고 볶는다. <br>② 무에 기름이 배도록 볶아지면 마늘을 넣고 다시 한번 볶는다.<br>③ 참깨를 뿌려 낸다.","무, 조선무, 뿌리 20g, 마늘, 구근, 생것 0.4g, 소금, 식염 0.2g, 참기름 0.3g, ","6.7","0.9","0.2","0.3","0.3","5.3","5.4","0.1","69.8","45.5","1.6","0.0","0.0","0.1","3.0","8038.jpg"
"나물,무침류","무말랭이무침","① 무말랭이는 깨끗이 씻어 10분 정도 물에 불려 물기를 짠다.<br>② 국간장, 물엿, 마늘, 고추가루로 양념장을 만들어 무말랭이에 넣고 버무린다.<br>③ 참깨를 뿌려 낸다.","무, 무말랭이 10g, 마늘, 구근, 생것 0.3g, 엿, 물엿 0.5g, 참기름 0.3g, 간장, 왜간장 0.3g, 고추가루 0.2g, 참깨, 흰깨, 볶은것 0.2g, ","33.0","6.2","1.2","0.6","1.7","33.6","35.2","0.8","29.6","229.3","6.7","0.0","0.0","0.4","7.7","8039.jpg"
"나물,무침류","무미역생채","① 미역을 불린 후 씻어서 물기를 빼고 적당한 크기로 썬다.<br>② 무는 채썰기한다.<br>③ 소금, 설탕, 식초, 대파, 마늘, 참기름, 깨소금, 고추장, 고추가루로 양념장을 만든다.<br>④ 미역과 무에 양념장을 넣고 버무려낸다.","무, 조선무, 뿌리 14g, 미역, 말린것 1.5g, 소금, 식염 0.1g, 설탕, 백설탕 0.3g, 식초 1g, 파, 대파 0.3g, 마늘, 구근, 생것 0.5g, 참기름 0.2g, 깨소금 0.2g, 고추장 5g, 고추가루 0.3g, ","21.9","3.8","0.8","0.5","1.3","23.2","19.8","0.4","247.9","157.0","31.9","0.0","0.0","0.4","2.5","8040.jpg"
"나물,무침류","미나리무침","① 미나리는 끓는 물에 살짝 데친 후 찬물에 헹궈 물기를 뺀 후 적당한 크기로 썬다.<br>② 소금, 설탕, 마늘, 깨소금, 참기름으로 양념장을 만든다.<br>③ 미나리에 양념장을 넣어 무친다.","미나리, 생것 10g, 소금, 식염 0.1g, 설탕, 백설탕 0.2g, 마늘, 구근, 생것 0.3g, 깨소금 0.2g, 참기름 0.2g, ","5.7","0.6","0.2","0.3","0.3","4.9","6.4","0.2","41.7","43.6","25.0","0.0","0.0","0.2","1.0","8041.jpg"
"나물,무침류","배추겉절이","① 얼갈이는 소금 간을 한 후 깨끗이 씻어 적당한 크기로 썬다.<br>② 고추가루, 깨소금, 참기름, 설탕, 마늘로 양념장을 만든다.<br>③ 얼갈이에 양념장을 넣고 무친다.","배추, 얼갈이 10.5g, 파, 대파 1.5g, 고추가루 0.3g, 깨소금 0.5g, 참기름 0.5g, 설탕, 백설탕 0.3g, 마늘, 구근, 생것 0.5g, ","11.4","0.8","0.4","0.8","0.4","14.0","9.6","0.3","16.4","41.8","18.4","0.0","0.0","0.2","2.9","8042.jpg"
"나물,무침류","부추양파생채","① 양파는 채썰고, 부추는 길이로 자른다.<br>② 멸치액젓, 설탕, 식초, 마늘로 양념장을 만든다.<br>③ 양파, 부추에 양념장을 넣고 무친다.<br>④ 참깨를 뿌려낸다.","부추, 생것 5g, 양파, 생것, 국내산 5g, 멸치, 액젓 0.5g, 설탕, 백설탕 0.2g, 식초 0.5g, 마늘, 구근, 생것 0.3g, 참깨, 흰깨, 볶은것 0.2g, ","5.8","0.9","0.4","0.1","0.2","5.0","5.0","0.2","30.6","36.1","31.9","0.0","0.0","0.0","2.5","8043.jpg"
"나물,무침류","브로콜리초무침","① 브로콜리를 씻어서 살짝 데친 후 먹기 좋게 썬다.<br>② 고추장, 고추가루, 마늘,  설탕, 식초, 깨소금을 넣고 초고추장을 만들어 준다.<br>③ 브로콜리와 초고추장을 곁들어 낸다.","브로콜리, 생것 10g, 고추장 1g, 고추가루 0.1g, 마늘, 구근, 생것 0.3g, 설탕, 백설탕 1g, 식초 1g, 깨소금 0.2g, ","10.8","1.9","0.6","0.2","0.4","9.6","23.1","0.2","32.5","40.5","20.0","0.0","0.0","0.2","9.8","8044.jpg"
